{'cname': '鑫启元（北京）建筑工程有限公司', 'corcode': '91110116MAC3M7A049', 'cid': '002212312027452284'}
{'cname': '北京同丰装饰工程有限责任公司', 'corcode': '91110101101314156D', 'cid': '002105291240489631'}
{'cname': '北京汉唐国际建筑装饰有限公司', 'corcode': '91110105792127420P', 'cid': '002105291240489632'}
{'cname': '远大柏恒（北京）装饰工程有限公司', 'corcode': '91110105684383937G', 'cid': '002105291240489634'}
{'cname': '北京市顺诚成物业管理有限公司', 'corcode': '91110113102566486E', 'cid': '002105291240489637'}
{'cname': '天地未来（北京）科技发展有限公司', 'corcode': '91110108736472174A', 'cid': '002105291240489638'}
{'cname': '北京华顺大通建设工程有限公司', 'corcode': '911101127959648304', 'cid': '002105291240493675'}
{'cname': '北京欣宏运建筑劳务有限公司', 'corcode': '9111011206283844X3', 'cid': '002105291240493676'}
{'cname': '北京岩松路桥建设有限公司', 'corcode': '91110112102385407X', 'cid': '002105291240493677'}
{'cname': '北京隆海森源劳务有限公司', 'corcode': '9111011757523318X8', 'cid': '002105291240493678'}
{'cname': '北京恒盛泽明建筑装饰工程有限公司', 'corcode': '911101027001260187', 'cid': '002105291240493679'}
{'cname': '北京路远通市政路桥股份有限公司', 'corcode': '911100007467124184', 'cid': '002105291240493680'}
{'cname': '北京洪超家越建筑材料有限公司', 'corcode': '91110111L26444542T', 'cid': '002105291240493681'}
{'cname': '北京天易门窗幕墙股份有限公司', 'corcode': '91110112769940093C', 'cid': '002105291240493683'}
{'cname': '北京央建国际建筑装饰工程有限公司', 'corcode': '911101063995625225', 'cid': '002205112024315595'}
{'cname': '北京嘉瑞立亚建设有限公司', 'corcode': '91110117MA02A2PE2K', 'cid': '002203122007284359'}
{'cname': '东旭宏业（北京）建设有限公司', 'corcode': '91110117MA7GTDG0XU', 'cid': '002203312009294598'}
{'cname': '北京通途路桥养护工程有限公司', 'corcode': '91110117MA7J6EEW91', 'cid': '002203312009294599'}
{'cname': '北京盛世丰华建筑有限公司', 'corcode': '91110117MA7FEX6G9R', 'cid': '002203312009294601'}
{'cname': '中科敏瑞（北京）建设工程有限公司', 'corcode': '91110109MA7H02Y58N', 'cid': '002204092017299775'}
{'cname': '中能海裕（北京）建筑有限公司', 'corcode': '91110109MA7G0P4N6K', 'cid': '002204092017299776'}
{'cname': '北京恒坤兴业建筑工程有限公司', 'corcode': '91110109MA7GA1538A', 'cid': '002203012018278502'}
{'cname': '北京兴瑞合生态科技有限公司', 'corcode': '91110112781746779D', 'cid': '002204132020301263'}
{'cname': '北京点巨安防工程有限公司', 'corcode': '91110101306393206A', 'cid': '002204132020301264'}
{'cname': '北京江东誉安建设有限公司', 'corcode': '91110111MA7GTJH106', 'cid': '002204132020301265'}
{'cname': '北京博越鑫盛建设工程有限公司', 'corcode': '91110117MA7F02906H', 'cid': '002204132020301266'}
{'cname': '北京拾众装饰工程有限公司', 'corcode': '91110111MA01KFYE9B', 'cid': '002204132020301267'}
{'cname': '北京泓伟建业建筑工程有限公司', 'corcode': '91110115MA7J1L4484', 'cid': '002204132020301281'}
{'cname': '北京加思德工程技术有限公司', 'corcode': '9111010874041126XK', 'cid': '002204212010306236'}
{'cname': '北京京兴和谐建筑有限公司', 'corcode': '9111011569323882X4', 'cid': '002105291241612260'}
{'cname': '北京绿园春建筑工程有限公司', 'corcode': '91110117802931405B', 'cid': '002105291241590894'}
{'cname': '北京中圆九盛科技有限公司', 'corcode': '91110114MA005FWC74', 'cid': '002105291241611861'}
{'cname': '北京首科兴业工程技术有限公司', 'corcode': '911101076977267088', 'cid': '002105291241611868'}
{'cname': '北京信和源建筑装饰工程有限公司', 'corcode': '91110109554878851U', 'cid': '002105291241602777'}
{'cname': '北京康邦科技有限公司', 'corcode': '91110108101193948N', 'cid': '002105291241602781'}
{'cname': '北京吕尚幕墙装饰工程有限公司', 'corcode': '91110109MA01DW5M85', 'cid': '002105291241612297'}
{'cname': '北京旭帆波建筑工程有限公司', 'corcode': '911101147621876764', 'cid': '002105291241612298'}
{'cname': '中装远博建设集团有限公司', 'corcode': '91110109MA01BU5P6A', 'cid': '002105291241590476'}
{'cname': '北京今展国际文化发展有限公司', 'corcode': '91110111318262166P', 'cid': '002105291241590477'}
{'cname': '北京众诚腾越建筑工程有限公司', 'corcode': '91110112MA009ENP52', 'cid': '002105291241590478'}
{'cname': '北京阳光弘泰建设工程有限公司', 'corcode': '9111010905135436XJ', 'cid': '002105291241590479'}
{'cname': '北京秦岭建筑工程有限公司', 'corcode': '91110109MA01B96P5T', 'cid': '002105291241602380'}
{'cname': '北京舒文环保科技有限公司', 'corcode': '91110107774713346N', 'cid': '002105291241612576'}
{'cname': '中晟旺达建设工程有限公司', 'corcode': '91110109MA01C7JG4X', 'cid': '002105291241602409'}
{'cname': '北京中工安泰建筑工程有限公司', 'corcode': '91110111059216471W', 'cid': '002105291259818969'}
{'cname': '北京百川宏图建筑工程有限公司', 'corcode': '91110228MA01J1BW6H', 'cid': '002105291259816270'}
{'cname': '众和一诺建筑科技（北京）有限公司', 'corcode': '91110109MA01N20B9B', 'cid': '002105291259816277'}
{'cname': '中卓远大（北京）建设工程有限公司', 'corcode': '91110109MA01NAFA86', 'cid': '002105291259816278'}
{'cname': '北京国方基业建筑工程有限公司', 'corcode': '911101086932285097', 'cid': '002105291258804976'}
{'cname': '北京新水源景科技股份有限公司', 'corcode': '911101087985475068', 'cid': '002105291258804978'}
{'cname': '北京市金诺筑建筑劳务有限公司', 'corcode': '9111022839941823XU', 'cid': '002105291258804979'}
{'cname': '北京惠通盛电力工程有限责任公司', 'corcode': '9111010670038763X1', 'cid': '002105291258804980'}
{'cname': '北京力拓铭达机电安装工程有限公司', 'corcode': '91110106053620705D', 'cid': '002105291258804981'}
{'cname': '北京金易恒建筑工程有限公司', 'corcode': '91110117554870446C', 'cid': '002105291258804982'}
{'cname': '北京恒泰宏兴防腐工程有限公司', 'corcode': '91110109MA01R6LX57', 'cid': '002105291258800339'}
{'cname': '北京富林硕建设工程有限公司', 'corcode': '91110111MA01QNUQ6L', 'cid': '002105291258800341'}
{'cname': '北京和乙建设工程有限公司', 'corcode': '91110111MA01QLGE34', 'cid': '002105291258800345'}
{'cname': '北京中俊润源建筑工程有限公司', 'corcode': '911101093304142498', 'cid': '002105291258804990'}
{'cname': '北京天诚华夏科技有限公司', 'corcode': '911101113303880284', 'cid': '002105291258805332'}
{'cname': '北京惠施建筑工程有限公司', 'corcode': '91110117MA04DL99X1', 'cid': '002112221917241979'}
{'cname': '北京中恒金工建设有限公司', 'corcode': '91110117MA01UXK766', 'cid': '002112221917241983'}
{'cname': '北京中胜华展建筑工程有限公司', 'corcode': '91110115MA04GBTC04', 'cid': '002112081934232296'}
{'cname': '中古俊兴（北京）建设有限公司', 'corcode': '91110109MA02A1A853', 'cid': '002111271913225516'}
{'cname': '北京惟翔起重吊装有限公司', 'corcode': '91110304MA04EMX4XU', 'cid': '002111301927226441'}
{'cname': '恒润浩业（北京）建筑工程有限公司', 'corcode': '91110109MA029UPY7X', 'cid': '002112111916235163'}
{'cname': '北京博大恒亚建筑工程有限公司', 'corcode': '91110117MA04FTDG5F', 'cid': '002112241922243654'}
{'cname': '北京督朗建筑装饰工程有限公司', 'corcode': '911101138029610065', 'cid': '002112311907248852'}
{'cname': '博雅软件股份有限公司', 'corcode': '911101087426098009', 'cid': '002112311907248853'}
{'cname': '北京力装科技有限公司', 'corcode': '91110108697674709F', 'cid': '002112311907248855'}
{'cname': '恒业弘远（北京）建筑工程有限公司', 'corcode': '91110117MA04BTMXXM', 'cid': '002112211917241136'}
{'cname': '北京长田装饰工程有限公司', 'corcode': '91110109MA01A1G07G', 'cid': '002112211917241137'}
{'cname': '经纬天成（北京）智慧科技有限公司', 'corcode': '911101055514002702', 'cid': '002112211917241147'}
{'cname': '北京天瑞平环保科技有限公司', 'corcode': '911101086774300535', 'cid': '002112311916248883'}
{'cname': '中宏皓锐（北京）工程技术有限公司', 'corcode': '91110109MA04DX5P86', 'cid': '002111271913225551'}
{'cname': '北京元来建筑装饰集团有限公司', 'corcode': '91110118MA04DBBT9D', 'cid': '002110131908198026'}
{'cname': '北京神龙盛业幕墙工程有限公司', 'corcode': '91110118MA04DBCF0U', 'cid': '002110131908198027'}
{'cname': '北京华道兴科技有限公司', 'corcode': '911101075636091359', 'cid': '002110131908198028'}
{'cname': '北京兴创东方建设有限公司', 'corcode': '91110115MA04CXUL91', 'cid': '002110131908198029'}
{'cname': '北京君天科技有限公司', 'corcode': '91110109MA02AQL91N', 'cid': '002110131908198030'}
{'cname': '北京安峰建筑工程有限公司', 'corcode': '91110109MA02B0NY38', 'cid': '002110131908198031'}
{'cname': '北京链艺兴建筑工程有限公司', 'corcode': '91110115MA04D0G46Y', 'cid': '002110131908198032'}
{'cname': '北京雨中王建筑工程有限公司', 'corcode': '91110117MA04EEKQ5B', 'cid': '002110131908198033'}
{'cname': '乐装（北京）装饰工程有限公司', 'corcode': '91110111MA01J59C06', 'cid': '002110131908198034'}
{'cname': '北京中科宏正建设有限公司', 'corcode': '91110109MA04CJHU1H', 'cid': '002110131908198035'}
{'cname': '北京世纪永兴展览展示有限公司', 'corcode': '911101137552722740', 'cid': '002111121911216169'}
{'cname': '北京嘉士凝科技有限公司', 'corcode': '911101087967129424', 'cid': '002110161909200151'}
{'cname': '硕通格（北京）建筑有限公司', 'corcode': '91110117MA04BREJ9D', 'cid': '002111161910218303'}
{'cname': '北京今明建筑工程有限公司', 'corcode': '91110115MA04CYU422', 'cid': '002110161909200132'}
{'cname': '中益信元（北京）建设有限公司', 'corcode': '91110109MA0209W4XU', 'cid': '002110161909200137'}
{'cname': '北京中实达装饰工程有限公司', 'corcode': '91110108553126981Q', 'cid': '002105291239453496'}
{'cname': '北京城市亮点电气工程有限公司', 'corcode': '91110108717724858X', 'cid': '002105291239453502'}
{'cname': '北京科林皓华环境科技发展有限责任公司', 'corcode': '91110108690045328W', 'cid': '002105291239453503'}
{'cname': '北京旭日乾坤装饰工程有限公司', 'corcode': '911103023183539220', 'cid': '002105291239453504'}
{'cname': '北京中科国益环保工程有限公司', 'corcode': '911103027577022312', 'cid': '002105291240461265'}
{'cname': '大唐环境产业集团股份有限公司', 'corcode': '91110000717830079A', 'cid': '002105291239453592'}
{'cname': '北京市大成商品混凝土有限公司', 'corcode': '91110105745495845P', 'cid': '002105291239453603'}
{'cname': '北京瑞安特声学装饰工程有限公司', 'corcode': '91110105723551068U', 'cid': '002105291239453519'}
{'cname': '北京市金龙腾装饰股份有限公司', 'corcode': '9111010863305739XH', 'cid': '002105291239453528'}
{'cname': '轩昂生态环境建设有限公司', 'corcode': '91110115MA00GANH7N', 'cid': '002105291239453544'}
{'cname': '北京西门创新机电安装工程有限公司', 'corcode': '91110108751348518X', 'cid': '002105291239453546'}
{'cname': '北京东晓玉成建筑工程有限公司', 'corcode': '91110117740431527W', 'cid': '002105291239453548'}
{'cname': '北京东方华智石油工程有限公司', 'corcode': '91110108749368763X', 'cid': '002105291239453490'}
{'cname': '北京长白鑫力机电设备安装工程有限公司', 'corcode': '91110109747515969N', 'cid': '002105291239453753'}
{'cname': '北京顺威建设工程有限公司', 'corcode': '911101136923243711', 'cid': '002105291240460870'}
{'cname': '北京世纪科创机电设备安装有限公司', 'corcode': '91110116802597427L', 'cid': '002105291240513348'}
{'cname': '北京鼎云超防水工程有限公司', 'corcode': '91110115099029961J', 'cid': '002105291240528235'}
{'cname': '北京明光力达送变电工程有限公司', 'corcode': '911101165891032478', 'cid': '002105291240535250'}
{'cname': '北京新创基业建筑工程有限公司', 'corcode': '911101127177339227', 'cid': '002105291240535251'}
{'cname': '北京松能电气工程有限公司', 'corcode': '91110228664609812R', 'cid': '002105291240535252'}
{'cname': '北京京海鼎峰康体设备开发有限公司', 'corcode': '911101148021063682', 'cid': '002105291240535391'}
{'cname': '北京天瑞泰达电力工程有限公司', 'corcode': '91110117576901530J', 'cid': '002105291240528078'}
{'cname': '北京时尚新概念装饰工程有限公司', 'corcode': '911101057214051121', 'cid': '002105291240528079'}
{'cname': '北京永顺兴旺大型设备运输有限公司', 'corcode': '91110115768475425M', 'cid': '002105291240528080'}
{'cname': '北京紫金御城建筑工程有限公司', 'corcode': '91110109MA00CMGF7D', 'cid': '002105291240528260'}
{'cname': '北京京翔宇建筑装饰工程有限公司', 'corcode': '91110112790658332C', 'cid': '002105291240535578'}
{'cname': '北京金武亨通市政工程有限公司', 'corcode': '9111011331792747XY', 'cid': '002105291240535579'}
{'cname': '北京梦求建筑工程劳务有限责任公司', 'corcode': '911101020945685288', 'cid': '002105291240535580'}
{'cname': '北京环宸建筑工程有限公司', 'corcode': '91110109MA00C70W3E', 'cid': '002105291240535586'}
{'cname': '北京宣房建筑工程有限责任公司', 'corcode': '91110102101547689N', 'cid': '002105291240528100'}
{'cname': '北京恒创新材建设工程有限公司', 'corcode': '91110114MA04GM5H9P', 'cid': '002112311916248899'}
{'cname': '北京晨曦日盛装饰工程有限公司', 'corcode': '91110115318268349F', 'cid': '002112181917239523'}
{'cname': '北京中坚鼎胜建筑装饰工程有限公司', 'corcode': '91110117MA04EHK94E', 'cid': '002112081934233047'}
{'cname': '中兴达建（北京）建筑工程有限公司', 'corcode': '91110109MA0213D21A', 'cid': '002111161910218230'}
{'cname': '北京恩煜建设有限责任公司', 'corcode': '91110109MA01HKHG4M', 'cid': '002112281925245821'}
{'cname': '中厚本优（北京）建筑工程有限公司', 'corcode': '91110109MA7BYUYH2X', 'cid': '002112281925245824'}
{'cname': '北京森亿世纪环保科技有限公司', 'corcode': '91110117MA04FDQ2XU', 'cid': '002112261919244946'}
{'cname': '北京木叶乡建筑科技有限公司', 'corcode': '91110108MA01ED0Q26', 'cid': '002112261919244947'}
{'cname': '北京中盛浩业建设有限公司', 'corcode': '91110109MA02B0WL43', 'cid': '002111121911216102'}
{'cname': '北京海德发建设工程有限公司', 'corcode': '91110109MA04EF6F99', 'cid': '002111121911216110'}
{'cname': '北京京丞建设有限公司', 'corcode': '91110109MA02B0XL0C', 'cid': '002111121911216111'}
{'cname': '中交四公局工程服务有限公司', 'corcode': '91110105721400186G', 'cid': '002112181917239524'}
{'cname': '北京广建大成建筑装饰工程有限公司', 'corcode': '911101097513220273', 'cid': '002112181917239525'}
{'cname': '北京华博兴业建筑工程有限公司', 'corcode': '91110109MA04GLA762', 'cid': '002112211917241176'}
{'cname': '北京广源发冷暖环保技术有限公司', 'corcode': '91110101790691351R', 'cid': '002112291917246935'}
{'cname': '北京中恒鑫伟建设工程有限公司', 'corcode': '91110116MABUAJYU2J', 'cid': '002211092022425265'}
{'cname': '北京万权工程有限公司', 'corcode': '91110117MABW67FB3J', 'cid': '002212012026438248'}
{'cname': '北京宏正海森监理咨询有限公司', 'corcode': '91110109MA01WW050K', 'cid': '002212022027439024'}
{'cname': '北京翰竹祥和建设工程有限公司', 'corcode': '91110116MABYBHPX38', 'cid': '002211122021427297'}
{'cname': '北京龙风基业幕墙装饰工程有限公司', 'corcode': '9111011168921661X3', 'cid': '002211122021427279'}
{'cname': '北京志远设备租赁有限公司', 'corcode': '91110115668427813H', 'cid': '002210112019406172'}
{'cname': '北京安林建筑工程有限公司', 'corcode': '91110109MABTWLM643', 'cid': '002210112019406159'}
{'cname': '北京洪盛伟业建设工程有限公司', 'corcode': '91110115MABY6NHP68', 'cid': '002210112019406161'}
{'cname': '北京佳河时代建筑安装工程有限公司', 'corcode': '91110118MABMYTDF77', 'cid': '002210112019406165'}
{'cname': '北京众维佳创时代科技有限公司', 'corcode': '911101127886092754', 'cid': '002210112019406173'}
{'cname': '北京金马威工程咨询有限公司', 'corcode': '91110108714559607X', 'cid': '002210212031414601'}
{'cname': '北京慧普时代数字科技有限公司', 'corcode': '91110112MA7MF87N6K', 'cid': '002211122021427301'}
{'cname': '中升建业（北京）建筑工程有限公司', 'corcode': '91110114MABUQPJ64J', 'cid': '002211122021427302'}
{'cname': '北京凯达万恒装饰有限公司', 'corcode': '91110114MA00629Q58', 'cid': '002211122021427309'}
{'cname': '北京中景合天科技有限公司', 'corcode': '91110114330284173B', 'cid': '002211122021427314'}
{'cname': '北京宏运建安建设有限公司', 'corcode': '91110109MA01AL7H3U', 'cid': '002105291241577396'}
{'cname': '北京瑞德尚元投资有限公司', 'corcode': '9111010510173509XX', 'cid': '002105291241577577'}
{'cname': '北京康伟兴业医疗科技有限公司', 'corcode': '911101157475129520', 'cid': '002105291241577578'}
{'cname': '北京长鸿兴业建筑装饰工程有限公司', 'corcode': '91110116MA00BWAU3A', 'cid': '002105291241577594'}
{'cname': '远汇（北京）建设工程有限公司', 'corcode': '91110109MA017TR071', 'cid': '002105291241577606'}
{'cname': '北京华瑞晟信建筑工程有限公司', 'corcode': '91110113MA00EUGK0F', 'cid': '002105291241577609'}
{'cname': '北京磐实空间装饰工程设计有限公司', 'corcode': '91110105MA00AY2M7U', 'cid': '002105291241577892'}
{'cname': '北京市协安迅燃气技术开发有限公司', 'corcode': '9111010870023852X5', 'cid': '002105291241576535'}
{'cname': '北京中阳顺兴建筑有限公司', 'corcode': '91110116802609037A', 'cid': '002105291241576554'}
{'cname': '北京格林建设有限公司', 'corcode': '91110109306304269Y', 'cid': '002105291241576555'}
{'cname': '北京昱海世纪建筑工程有限公司', 'corcode': '91110109078513391D', 'cid': '002105291241576571'}
{'cname': '北京仙友科技有限公司', 'corcode': '9111011378021173X7', 'cid': '002105291241577022'}
{'cname': '北京利正建筑工程技术有限公司', 'corcode': '91110106678225502R', 'cid': '002105291241577023'}
{'cname': '北京圣天博森建设工程有限公司', 'corcode': '911101151028680707', 'cid': '002105291241577024'}
{'cname': '北京京电电网维护集团有限公司', 'corcode': '91110000742605260P', 'cid': '002105291241577025'}
{'cname': '北京大泽建筑装饰工程有限公司', 'corcode': '91110108057346926N', 'cid': '002105291258797500'}
{'cname': '北京安海之弋园林古建工程有限公司', 'corcode': '91110115762178075W', 'cid': '002105291258797517'}
{'cname': '北京莱伊建设工程有限公司', 'corcode': '91110228MA00F5DY3Q', 'cid': '002105291258797519'}
{'cname': '北京正融建筑工程有限责任公司', 'corcode': '91110111MA01AJXY2G', 'cid': '002105291258808727'}
{'cname': '北京盛京建设发展有限公司', 'corcode': '91110112MA01ARTQ3D', 'cid': '002105291258806987'}
{'cname': '中邦基业（北京）建筑装饰工程有限公司', 'corcode': '91110117MA01QXMMX0', 'cid': '002105291258794105'}
{'cname': '北京宏泰盛强金属装饰有限公司', 'corcode': '91110106593895611W', 'cid': '002105291258794106'}
{'cname': '北京凯丰市政工程有限公司', 'corcode': '91110111MA01QEXU30', 'cid': '002105291258794107'}
{'cname': '北京华达兴业工程技术有限公司', 'corcode': '91110111MA01QRED9E', 'cid': '002105291258794113'}
{'cname': '北京冀建科技有限公司', 'corcode': '91110111MA01GK5YXH', 'cid': '002105291258794114'}
{'cname': '北京新兴建业建设工程有限公司', 'corcode': '91110111MA01QT6X7J', 'cid': '002105291258794115'}
{'cname': '森瑞（北京）建筑工程有限公司', 'corcode': '91110111MA01QJ570N', 'cid': '002105291258794116'}
{'cname': '北京绿城易筑科技有限公司', 'corcode': '91110111596075942R', 'cid': '002105291258794119'}
{'cname': '中鼎荣盛（北京）建筑有限公司', 'corcode': '91110113MA01N16D05', 'cid': '002105291258794781'}
{'cname': '中泰华昱（北京）建设工程有限公司', 'corcode': '91110109MA01P91B5Y', 'cid': '002105291258794783'}
{'cname': '北京华汇立达建设工程有限公司', 'corcode': '91110117MA0203QN05', 'cid': '002105291336095091'}
{'cname': '北京中诚华宇建设有限公司', 'corcode': '91110109MA01XRLK9H', 'cid': '002105291328052298'}
{'cname': '北京时代嘉格建筑工程有限公司', 'corcode': '91110109MA01YTG399', 'cid': '002105291328052629'}
{'cname': '北京隆源纳欣工程有限公司', 'corcode': '91110117MA01YYY10A', 'cid': '002105291328052632'}
{'cname': '北京耘恒建筑工程有限公司', 'corcode': '91110109MA01XU2Y09', 'cid': '002105291328052637'}
{'cname': '北京田鑫建设有限公司', 'corcode': '911101051017044291', 'cid': '002105291328052649'}
{'cname': '北京中工华艺建筑工程有限公司', 'corcode': '91110109MA01R0590J', 'cid': '002105291335090585'}
{'cname': '北京胜信建设有限责任公司', 'corcode': '91110116MA01RNK211', 'cid': '002105291335090586'}
{'cname': '中基天瑞（北京）建设工程有限公司', 'corcode': '91110109MA019LWR96', 'cid': '002105291328054011'}
{'cname': '北京旭日腾飞建筑工程有限公司', 'corcode': '91110115MA003D4M4C', 'cid': '002105291335090940'}
{'cname': '北京逸泰装饰有限公司', 'corcode': '91110302771562730K', 'cid': '002105291328055773'}
{'cname': '北京永联伟业电气设备安装有限公司', 'corcode': '911101086995853635', 'cid': '002105291328055777'}
{'cname': '北京蕴泉建设工程有限公司', 'corcode': '91110109MA01N1FT9Q', 'cid': '002105291328057492'}
{'cname': '秦冶工程技术（北京）有限责任公司', 'corcode': '91110113694969720E', 'cid': '002105291329080475'}
{'cname': '北京宏坤国信建筑工程有限公司', 'corcode': '91110109MA01L0A65L', 'cid': '002105291328057503'}
{'cname': '中净建设工程有限公司', 'corcode': '91110114MA003U1B1E', 'cid': '002105291322999868'}
{'cname': '北京中科时代建设集团有限公司', 'corcode': '91110115777070016E', 'cid': '002105291322999874'}
{'cname': '北京华晟鼎呈建筑工程有限公司', 'corcode': '91110106562097625P', 'cid': '002105291322999875'}
{'cname': '中启智慧（北京）科技有限责任公司', 'corcode': '91110304MA0048QP0K', 'cid': '002105291322999877'}
{'cname': '北京普众幕墙装饰有限公司', 'corcode': '91110105682876797R', 'cid': '002105291322995858'}
{'cname': '北京北鹏熙瑞特建筑有限公司', 'corcode': '91110115MA01RE7U3L', 'cid': '002105291322000931'}
{'cname': '北京合创鑫悦建设工程有限公司', 'corcode': '91110109MA01P7JQ7L', 'cid': '002105291322000938'}
{'cname': '中志华兴（北京）建设有限公司', 'corcode': '91110109MA01N4WQ0A', 'cid': '002105291322002319'}
{'cname': '航天工程咨询（北京）有限公司', 'corcode': '91110108563665137F', 'cid': '002105291322002660'}
{'cname': '央美筑城（北京）城市规划设计院有限公司', 'corcode': '91110109MA01N5CU9M', 'cid': '002105291322002661'}
{'cname': '北京财森腾裕建筑劳务有限公司', 'corcode': '91110116MA01YDQA6T', 'cid': '002105291322993170'}
{'cname': '北京鑫轩建筑劳务有限公司', 'corcode': '91110109MA01TE3M3R', 'cid': '002105291322998500'}
{'cname': '北京磐石信达科技有限公司', 'corcode': '91110114MA01A34N4F', 'cid': '002105291322998502'}
{'cname': '北京生源上达新能源技术有限公司', 'corcode': '91110109MA01R1UGXP', 'cid': '002105291322998508'}
{'cname': '北京兴润科建筑工程有限公司', 'corcode': '91110109MA01XTPJ10', 'cid': '002105291322998510'}
{'cname': '北京润成天宇装饰工程有限公司', 'corcode': '9111011568694075X2', 'cid': '002105291240460993'}
{'cname': '北京屹昌水电工程安装有限公司', 'corcode': '91110114102695798P', 'cid': '002105291240460994'}
{'cname': '北京中实达装饰工程有限公司', 'corcode': '91110108553126981Q', 'cid': '002105291239453496'}
{'cname': '北京城市亮点电气工程有限公司', 'corcode': '91110108717724858X', 'cid': '002105291239453502'}
{'cname': '北京科林皓华环境科技发展有限责任公司', 'corcode': '91110108690045328W', 'cid': '002105291239453503'}
{'cname': '北京旭日乾坤装饰工程有限公司', 'corcode': '911103023183539220', 'cid': '002105291239453504'}
{'cname': '北京中科国益环保工程有限公司', 'corcode': '911103027577022312', 'cid': '002105291240461265'}
{'cname': '大唐环境产业集团股份有限公司', 'corcode': '91110000717830079A', 'cid': '002105291239453592'}
{'cname': '北京市大成商品混凝土有限公司', 'corcode': '91110105745495845P', 'cid': '002105291239453603'}
{'cname': '北京瑞安特声学装饰工程有限公司', 'corcode': '91110105723551068U', 'cid': '002105291239453519'}
{'cname': '北京市金龙腾装饰股份有限公司', 'corcode': '9111010863305739XH', 'cid': '002105291239453528'}
{'cname': '轩昂生态环境建设有限公司', 'corcode': '91110115MA00GANH7N', 'cid': '002105291239453544'}
{'cname': '北京西门创新机电安装工程有限公司', 'corcode': '91110108751348518X', 'cid': '002105291239453546'}
{'cname': '北京东晓玉成建筑工程有限公司', 'corcode': '91110117740431527W', 'cid': '002105291239453548'}
{'cname': '北京东方华智石油工程有限公司', 'corcode': '91110108749368763X', 'cid': '002105291239453490'}
{'cname': '北京国鑫恒泰建筑工程有限公司', 'corcode': '91110228102966906R', 'cid': '002105291240465072'}
{'cname': '北京市吉兰雅装饰装璜有限公司', 'corcode': '911101058017556224', 'cid': '002105291240465073'}
{'cname': '北京国创通畅路桥养护有限公司', 'corcode': '91110114688376902M', 'cid': '002105291240465074'}
{'cname': '北京名高典雅装饰装璜有限责任公司', 'corcode': '91110101101485027P', 'cid': '002105291240480503'}
{'cname': '北京日立电梯工程有限公司', 'corcode': '91110115752190345E', 'cid': '002105291240480504'}
{'cname': '枣强恒润（北京）机电设备有限公司', 'corcode': '9111011578024614XE', 'cid': '002105291240480505'}
{'cname': '北京市博丽雅装饰工程有限公司', 'corcode': '91110108722653118J', 'cid': '002105291240480506'}
{'cname': '北京安燃启东市政工程有限责任公司', 'corcode': '91110115662188620N', 'cid': '002105291240480509'}
{'cname': '北京海诺装饰设计有限公司', 'corcode': '911101057376613218', 'cid': '002105291240480510'}
{'cname': '北京金凯鹏装饰工程有限公司', 'corcode': '911101067467343263', 'cid': '002105291240480511'}
{'cname': '北京耀利科技发展有限公司', 'corcode': '91110108738221088B', 'cid': '002105291240480512'}
{'cname': '北京双良混凝土有限公司', 'corcode': '91110105721410704U', 'cid': '002105291240480513'}
{'cname': '北京世骏装饰工程有限公司', 'corcode': '911101097488073572', 'cid': '002105291240480514'}
{'cname': '北京市富元星达建筑装饰工程有限公司', 'corcode': '91110116700044362J', 'cid': '002105291240480515'}
{'cname': '北京星格建筑工程有限公司', 'corcode': '91110106091895224B', 'cid': '002105291240480516'}
{'cname': '中震建设工程有限公司', 'corcode': '91110109MA01P6Q9X4', 'cid': '002105291259825519'}
{'cname': '北京天坤丰源建筑工程有限公司', 'corcode': '91110111MA01QETG3K', 'cid': '002105291259825521'}
{'cname': '北京森雷博瑞实验室设备有限公司', 'corcode': '91110114722678753J', 'cid': '002105291259817789'}
{'cname': '中控高科（北京）安全技术有限公司', 'corcode': '91110116348387779Q', 'cid': '002105291259817790'}
{'cname': '北京实达利丰科技发展有限公司', 'corcode': '91110109760924775K', 'cid': '002105291259817800'}
{'cname': '北京鹏盛建筑工程有限公司', 'corcode': '91110109MA01N9F035', 'cid': '002105291259817153'}
{'cname': '北京中科天地建设科技有限公司', 'corcode': '911101027235570805', 'cid': '002105291259817158'}
{'cname': '鹏升建设集团有限公司', 'corcode': '91110106556890133Y', 'cid': '002105291259817835'}
{'cname': '北京润泽昌茂建筑劳务有限公司', 'corcode': '911101140975565309', 'cid': '002105291259817841'}
{'cname': '北京桐坤净化工程技术有限公司', 'corcode': '911101140896013629', 'cid': '002105291259817842'}
{'cname': '北京国泰华祥建筑工程有限公司', 'corcode': '91110106064853790H', 'cid': '002105291259818887'}
{'cname': '北京亿玮坤节能科技有限公司', 'corcode': '91110114560387901G', 'cid': '002105291259818889'}
{'cname': '北京富海天成建筑有限公司', 'corcode': '91110109MA01PGY04P', 'cid': '002105291259829512'}
{'cname': '北京德毅盈机电工程有限公司', 'corcode': '91110101796704168W', 'cid': '002105291259822034'}
{'cname': '北京鸿建远达建筑有限公司', 'corcode': '91110117MA01NE4G8D', 'cid': '002105291259822036'}
{'cname': '众建华安（北京）建筑科技有限公司', 'corcode': '91110106MA01Y0281Y', 'cid': '002202102018271095'}
{'cname': '北京中汇达建筑工程有限公司', 'corcode': '91110114MA7FXEQ66Q', 'cid': '002203052006281104'}
