{'cname': '北京中天远建筑工程有限公司', 'corcode': '91110109MA019HWA91', 'cid': '002105291241581606'}
{'cname': '北京盈贝建设工程有限公司', 'corcode': '91110112MA01P00N2L', 'cid': '002111041910211004'}
{'cname': '北京璟衡装饰工程有限公司', 'corcode': '91110117MA04CD6K3F', 'cid': '002110291911207576'}
{'cname': '中阳天顺（北京）建设有限公司', 'corcode': '91110109MA01Y5BR8Q', 'cid': '002110211915203003'}
{'cname': '中汇立新（北京）建设发展有限公司', 'corcode': '91110109MA020A719T', 'cid': '002109241046189189'}
{'cname': '北京金尚装饰工程有限公司', 'corcode': '91110109MA02M40E48', 'cid': '002109241046189190'}
{'cname': '中创圆益（北京）建设有限公司', 'corcode': '91110109MA04B95156', 'cid': '002109241046189191'}
{'cname': '中宇互通（北京）科技有限公司', 'corcode': '91110115MA01DCA21A', 'cid': '002109091915182617'}
{'cname': '北京贝格初意防水工程技术有限公司', 'corcode': '91110117MA021FYQ44', 'cid': '002109091915182618'}
{'cname': '北京华景益嘉建筑装饰工程有限公司', 'corcode': '91110112682899737W', 'cid': '002109101905183556'}
{'cname': '北京恒捷宝通机电工程设备有限公司', 'corcode': '91110113399419654H', 'cid': '002109101905183557'}
{'cname': '北京鼎虹工程技术有限公司', 'corcode': '91110112MA01U1GA8U', 'cid': '002109091915182619'}
{'cname': '北京通晖建设有限公司', 'corcode': '91110109MA04CJQ2X6', 'cid': '002111111911215462'}
{'cname': '北京艺创达装饰工程有限公司', 'corcode': '911101083064414156', 'cid': '002109241046189186'}
{'cname': '北京万顺和建设工程有限公司', 'corcode': '91110113099738610Y', 'cid': '002105291241601817'}
{'cname': '北京新远时代环境技术有限公司', 'corcode': '91110111MA01B2YMXL', 'cid': '002105291241601819'}
{'cname': '北京建磊国际装饰工程股份有限公司', 'corcode': '911101091014170400', 'cid': '002105291241611363'}
{'cname': '北京任我翱翔建设有限公司', 'corcode': '91110115MA0075BY7U', 'cid': '002105291241611506'}
{'cname': '北京中晟瑞源建设工程有限公司', 'corcode': '91110111MA01EUDGXT', 'cid': '002105291241611529'}
{'cname': '北京三行建筑劳务有限公司', 'corcode': '91110109MA01DD7Q1H', 'cid': '002105291241611538'}
{'cname': '北京天晟建筑工程有限公司', 'corcode': '911101113444134319', 'cid': '002105291241611530'}
{'cname': '北京中和建工建设有限公司', 'corcode': '91110111MA01EY1C1H', 'cid': '002105291241611540'}
{'cname': '北京科进电子工程技术有限公司', 'corcode': '91110116102587308Q', 'cid': '002105291241601681'}
{'cname': '北京华城远大建设有限公司', 'corcode': '91110115675084513E', 'cid': '002105291241611543'}
{'cname': '北京艺力设计工程有限公司', 'corcode': '9111011610143983X8', 'cid': '002105291241601684'}
{'cname': '北京点点润源电力工程有限公司', 'corcode': '911101110573480321', 'cid': '002105291241601685'}
{'cname': '北京北变微电网技术有限公司', 'corcode': '91110108584498980E', 'cid': '002105291241589761'}
{'cname': '北京恒固伟业太阳能建筑工程有限公司', 'corcode': '91110115764249682M', 'cid': '002105291241601687'}
{'cname': '北京寰宇信达建筑工程有限公司', 'corcode': '91110111MA004CBG2F', 'cid': '002105291241611563'}
{'cname': '北京筑之筑建设有限公司', 'corcode': '91110111MA017FY973', 'cid': '002105291259829307'}
{'cname': '耀联（北京）建筑工程有限公司', 'corcode': '91110109MA01PPQY6D', 'cid': '002105291305845598'}
{'cname': '北京众达建筑装饰有限公司', 'corcode': '91110109MA01T1594X', 'cid': '002105291305845600'}
{'cname': '北京中鹭鸿宇防水科技有限公司', 'corcode': '91110109MA01T0X9XC', 'cid': '002105291305845601'}
{'cname': '北京鑫博晟业建设工程有限公司', 'corcode': '91110111MA01TGB18C', 'cid': '002105291305852970'}
{'cname': '北京福隆通达晟建筑工程有限公司', 'corcode': '91110113MA017Q6727', 'cid': '002105291305848105'}
{'cname': '北京安信华源建筑工程有限公司', 'corcode': '91110111669113103Q', 'cid': '002105291305846300'}
{'cname': '北京科林之星环保技术有限公司', 'corcode': '91110114802662620L', 'cid': '002105291305846301'}
{'cname': '北京燕山建筑安装有限责任公司', 'corcode': '91110304102767077F', 'cid': '002105291305846302'}
{'cname': '北京中垒浩宇装饰工程有限公司', 'corcode': '911101147214480323', 'cid': '002105291305846303'}
{'cname': '华建盛世（北京）建筑工程有限公司', 'corcode': '91110117MA01PDY06T', 'cid': '002105291305847351'}
{'cname': '北京中天弘伟建筑工程集团有限公司', 'corcode': '91110113MA01GE521N', 'cid': '002105291305850557'}
{'cname': '北京百成兴装饰工程有限公司', 'corcode': '91110112563639174Q', 'cid': '002105291305843866'}
{'cname': '北京慕成智能工程有限公司', 'corcode': '91110116MA0191W11F', 'cid': '002105291259830741'}
{'cname': '北京鼎尚恒兴建筑劳务工程有限公司', 'corcode': '91110115MA00FP293N', 'cid': '002105291305845622'}
{'cname': '北京随寓而安建筑工程有限公司', 'corcode': '91110109MA019M7H02', 'cid': '002203012018278609'}
{'cname': '中威天业（北京）建设有限公司', 'corcode': '91110109MA01R8QJ8A', 'cid': '002203012018278610'}
{'cname': '北京大兴智慧城市科技有限公司', 'corcode': '91110115MA04GT090R', 'cid': '002203182008287842'}
{'cname': '北京中欣凯裕建设有限公司', 'corcode': '91110109MA7G3CP96R', 'cid': '002203182008287843'}
{'cname': '北京大招科技有限公司', 'corcode': '91110115MA7DAUAP6Y', 'cid': '002203182008287845'}
{'cname': '北京仁泰恒鑫科技有限公司', 'corcode': '91110115MA04H3KE3M', 'cid': '002203182008287846'}
{'cname': '北京灏君建筑工程有限公司', 'corcode': '91110109MA7FCBYN3H', 'cid': '002203182008287847'}
{'cname': '北京冠昱建筑工程科技有限公司', 'corcode': '91110112MA00B0285B', 'cid': '002202151502273001'}
{'cname': '北京中瑞晟鑫建设有限公司', 'corcode': '91110109MA04DRGW90', 'cid': '002202242019276805'}
{'cname': '曼星航（北京）建筑工程有限公司', 'corcode': '91110114MA7EG99E6G', 'cid': '002203182008287854'}
{'cname': '北京壹柒腾达科技有限公司', 'corcode': '91110116MA00CNYJ7B', 'cid': '002202082017270541'}
{'cname': '北京浩源宏祥建筑工程有限公司', 'corcode': '91110117MA7H3CU48N', 'cid': '002201302018268508'}
{'cname': '北京瑞宇建筑工程有限公司', 'corcode': '91110109MA7F72W944', 'cid': '002202242019276806'}
{'cname': '北京中腾恒盛建筑工程有限公司', 'corcode': '91110109MA7D9T5NX4', 'cid': '002201302018268524'}
{'cname': '北京莱诺建设有限公司', 'corcode': '91110109MA7EG26621', 'cid': '002201302018268525'}
{'cname': '北京恒昌晟业工程技术有限公司', 'corcode': '91110114677441828K', 'cid': '002105291259839850'}
{'cname': '北京合强电力安装有限公司', 'corcode': '91110115660529620D', 'cid': '002105291258809455'}
{'cname': '北京盛辉光业建筑工程有限公司', 'corcode': '91110228MA01QE0P2X', 'cid': '002105291258810476'}
{'cname': '北京东方金创装饰工程有限公司', 'corcode': '91110106673842640P', 'cid': '002105291258810477'}
{'cname': '北京腾达恒安土石方工程有限公司', 'corcode': '91110115327276041T', 'cid': '002105291259811174'}
{'cname': '北京辰隆建设工程有限公司', 'corcode': '91110108327285271M', 'cid': '002105291259811179'}
{'cname': '中禾立固（北京）建设有限公司', 'corcode': '91110109MA01RAAC4N', 'cid': '002105291259812239'}
{'cname': '北京德润建筑劳务有限公司', 'corcode': '91110109MA01R14N1L', 'cid': '002105291259812240'}
{'cname': '北京丰电辰航工程有限公司', 'corcode': '91110109MA01Q4L12T', 'cid': '002105291259812243'}
{'cname': '北京中屹兴华建筑工程有限公司', 'corcode': '91110109MA01R6BJ7Y', 'cid': '002105291259812248'}
{'cname': '北京田隅建筑工程有限公司', 'corcode': '91110111MA01QMTA69', 'cid': '002105291259812253'}
{'cname': '北京赛诺环境工程有限公司', 'corcode': '911101128024242196', 'cid': '002105291259837509'}
{'cname': '北京久美和隆建筑工程有限公司', 'corcode': '91110113MA00DEJD38', 'cid': '002105291259813304'}
{'cname': '北京宝沃石油技术有限责任公司', 'corcode': '91110107585817357U', 'cid': '002105291259838204'}
{'cname': '北京蓝彬尚科建筑工程有限公司', 'corcode': '911101013066196079', 'cid': '002105291258810479'}
{'cname': '中工建投（北京）建设有限公司', 'corcode': '91110109MA01QHN53B', 'cid': '002105291258794075'}
{'cname': '北京华夏红苑环境工程有限公司', 'corcode': '91110112792138429N', 'cid': '002105291258805197'}
{'cname': '北京荟晟建筑装饰工程有限公司', 'corcode': '91110228MA00GWLG69', 'cid': '002105291258805198'}
{'cname': '北京居然建设有限公司', 'corcode': '91110117MA00410L3F', 'cid': '002105291258805199'}
{'cname': '北京宝阳建筑工程有限公司', 'corcode': '91110109MA01QALA2F', 'cid': '002105291258794077'}
{'cname': '北京禾田丰环境工程有限公司', 'corcode': '91110113MA01MC1581', 'cid': '002105291258805215'}
{'cname': '中新建晟集团有限公司', 'corcode': '91110109MA01KAN86E', 'cid': '002105291258794750'}
{'cname': '北京中铁生态环境设计院有限公司', 'corcode': '91110115MA01G7L405', 'cid': '002105291258794752'}
{'cname': '北京乾昌建筑工程有限公司', 'corcode': '91110109MA01Q8204N', 'cid': '002105291258795743'}
{'cname': '北京众联建工环境工程集团有限公司', 'corcode': '91110111MA01N5EH56', 'cid': '002105291258795748'}
{'cname': '北京双辉基业环境股份有限公司', 'corcode': '91110109MA01KRAQ7A', 'cid': '002105291258808714'}
{'cname': '众典视界建筑工程设计（北京）有限公司', 'corcode': '911101050628410163', 'cid': '002105291258793393'}
{'cname': '北京瀚博林遥感测图信息工程研究院', 'corcode': '911101087621561248', 'cid': '002105291258793398'}
{'cname': '兴峰（北京）建筑工程有限公司', 'corcode': '91110111MA01QNG715', 'cid': '002105291258794100'}
{'cname': '北京中宏信宇建筑工程有限公司', 'corcode': '91110109MA01QA0741', 'cid': '002105291258794779'}
{'cname': '九美科技有限公司', 'corcode': '91110108792144861T', 'cid': '002105291239456137'}
{'cname': '北京丰懋新建筑工程有限公司', 'corcode': '91110111358337708H', 'cid': '002105291239456138'}
{'cname': '北京市京诚正达防水施工有限公司', 'corcode': '911101137693636793', 'cid': '002105291240473877'}
{'cname': '北京恒通苑建筑工程有限公司', 'corcode': '91110112717737894U', 'cid': '002105291240473878'}
{'cname': '艺奇嘉业（北京）建设有限公司', 'corcode': '91110109MAC193P734', 'cid': '002212232026448810'}
{'cname': '北京东方京安消防工程有限公司', 'corcode': '911101026742671233', 'cid': '002105291240460057'}
{'cname': '北京拓宏图建筑工程有限公司', 'corcode': '91110112802897999C', 'cid': '002105291239456313'}
{'cname': '北京盈升混凝土有限公司', 'corcode': '9111011574814985XK', 'cid': '002105291240460058'}
{'cname': '开拓东方（北京）保温科技有限公司', 'corcode': '911101147715888508', 'cid': '002105291240460059'}
{'cname': '世盛建筑装饰工程有限公司', 'corcode': '91110116717753819F', 'cid': '002105291240460060'}
{'cname': '中交路桥建设有限公司', 'corcode': '9111000059062789XU', 'cid': '002105291240472894'}
{'cname': '北京振业林建筑工程有限公司', 'corcode': '911101177404282214', 'cid': '002105291239456545'}
{'cname': '北京迪威尔石油天然气技术开发有限公司', 'corcode': '911101088020899089', 'cid': '002105291239456546'}
{'cname': '北京兴旺通达建设工程有限公司', 'corcode': '911101177889554935', 'cid': '002105291239456547'}
{'cname': '北京路通达峰市政工程有限公司', 'corcode': '9111011775822493X5', 'cid': '002105291239456548'}
{'cname': '北京中防建筑工程有限公司', 'corcode': '91110111MA01PR0F0D', 'cid': '002206172011335244'}
{'cname': '北京中创华成建设有限公司', 'corcode': '91110109MA7EYY2J93', 'cid': '002206172011335246'}
{'cname': '中福乾来（北京）建设有限公司', 'corcode': '91110109MA7LJMKF2C', 'cid': '002206172011335247'}
{'cname': '中润海裕（北京）建设有限公司', 'corcode': '91110109MA7FDW2T13', 'cid': '002206172011335248'}
{'cname': '北京华宇铭创建设工程有限公司', 'corcode': '91110109MA7LJWN30D', 'cid': '002206172011335249'}
{'cname': '北京国信会视科技有限公司', 'corcode': '91310109MA1G53KL8B', 'cid': '002206172011335250'}
{'cname': '北京荣筑装饰工程有限公司', 'corcode': '91110109MA7JR51UXK', 'cid': '002206172011335251'}
{'cname': '北京富兴耀晟建筑有限公司', 'corcode': '91110117MA7LP6GU9A', 'cid': '002206172011335252'}
{'cname': '锦博鼎盛（北京）建筑工程有限公司', 'corcode': '91110117MA7KU5T933', 'cid': '002206172012335253'}
{'cname': '宇华盛达（北京）建筑工程有限公司', 'corcode': '91110109MA7F5GE11Q', 'cid': '002206172012335254'}
{'cname': '北京华昊旭辉工程管理有限公司', 'corcode': '91110117MA7M8WCK0W', 'cid': '002206172012335255'}
{'cname': '中鸿立欣（北京）建筑有限公司', 'corcode': '91110109MA04CHUJ9J', 'cid': '002206102015331447'}
{'cname': '北京吉祥瑞建筑装饰工程有限公司', 'corcode': '91110109MA7KFYUA55', 'cid': '002206102015331448'}
{'cname': '国原（北京）建设工程有限公司', 'corcode': '91110109MA7KW2Q97K', 'cid': '002206102015331449'}
{'cname': '中盛瑞恒（北京）建筑有限公司', 'corcode': '91110114MA7NHW0T8M', 'cid': '002206102015331452'}
{'cname': '北京中裕盛溪建筑工程有限公司', 'corcode': '91110109MA7DQ80561', 'cid': '002204202010305202'}
{'cname': '北京华恒基业建筑工程有限公司', 'corcode': '9111010567055984XE', 'cid': '002204202010305203'}
{'cname': '鸿创万通（北京）建设有限公司', 'corcode': '91110109MA04F5612L', 'cid': '002204202010305204'}
{'cname': '嘉新科宇（北京）机械设备租赁有限公司', 'corcode': '91110109MA020W137N', 'cid': '002204202010305206'}
{'cname': '鸿伟谊新（北京）建设工程有限公司', 'corcode': '91110109MA021C5J4P', 'cid': '002204202010305205'}
{'cname': '北京荣晟天成建筑工程有限公司', 'corcode': '91110109MA7GCM2R3G', 'cid': '002204162009303643'}
{'cname': '中能万家（北京）建筑装饰有限公司', 'corcode': '91110109MA04G1342H', 'cid': '002205142010317314'}
{'cname': '北京彩科装饰工程有限公司', 'corcode': '91110111MA7J4J596P', 'cid': '002205062010312806'}
{'cname': '北京好饰装饰有限公司', 'corcode': '91110111MA0079JB0D', 'cid': '002205062010312807'}
{'cname': '北京世纪网源工程技术有限公司', 'corcode': '91110114MA7G1PXU3C', 'cid': '002205062010312808'}
{'cname': '京朝智能科技（北京）有限公司', 'corcode': '91110116MA7E6BF277', 'cid': '002204080428298426'}
{'cname': '北京联创富通系统集成有限公司', 'corcode': '91110114584465046J', 'cid': '002205062010312809'}
{'cname': '亿企飞（北京）科技有限公司', 'corcode': '91110111MA7H8UDT0H', 'cid': '002205062010312810'}
{'cname': '北京捷畅安装工程有限公司', 'corcode': '91110111MA7HWN3H06', 'cid': '002205062010312811'}
{'cname': '北京拓标建筑工程有限公司', 'corcode': '91110109MA7EN2W23B', 'cid': '002204080428298428'}
{'cname': '北京德唯国际建筑装饰工程有限公司', 'corcode': '91110106102269027E', 'cid': '002105291240526249'}
{'cname': '北京永振建设科技有限公司', 'corcode': '91110111318399197A', 'cid': '002105291240517713'}
{'cname': '北京世纪中泰照明工程有限公司', 'corcode': '911101057621539193', 'cid': '002105291240517714'}
{'cname': '北京盛洋国际建设工程有限公司', 'corcode': '91110115675749909X', 'cid': '002105291240517715'}
{'cname': '北京驰际建筑工程有限公司', 'corcode': '91110109569455528Y', 'cid': '002105291240517716'}
{'cname': '北京天成永鑫建筑工程有限公司', 'corcode': '91110113335492318Y', 'cid': '002105291240517459'}
{'cname': '北京沐瑞格林建筑装饰工程有限公司', 'corcode': '91110112097771433G', 'cid': '002105291240517462'}
{'cname': '北京瑞丰伦建筑装饰有限公司', 'corcode': '911100006787509566', 'cid': '002105291240517463'}
{'cname': '北京中林永兴建筑工程有限公司', 'corcode': '91110109306730671J', 'cid': '002105291240505877'}
{'cname': '北京筑安结建筑科技有限公司', 'corcode': '911101095825604969', 'cid': '002105291240505878'}
{'cname': '北京凯盛世纪建筑装饰工程有限公司', 'corcode': '91110109802299243H', 'cid': '002105291240517727'}
{'cname': '北京奇利阳光建筑装饰工程有限公司', 'corcode': '91110106569546278R', 'cid': '002105291240517728'}
{'cname': '北京纵横工程监理有限公司', 'corcode': '91110105101741940W', 'cid': '002105291240505720'}
{'cname': '北京兴华茂源建筑工程有限公司', 'corcode': '911101158028625340', 'cid': '002105291240517738'}
{'cname': '北京万邦建筑工程有限公司', 'corcode': '91110109MA00A3WT0M', 'cid': '002105291240517744'}
{'cname': '德克瑞森工程技术（北京）有限公司', 'corcode': '91110105672814533W', 'cid': '002105291322986662'}
{'cname': '爱德光文化（北京）有限公司', 'corcode': '91110108780232055N', 'cid': '002105291322988044'}
{'cname': '北京鑫邺建筑工程有限公司', 'corcode': '91110109MA01JY8Y35', 'cid': '002105291322988046'}
{'cname': '北京恒瑞通建设工程有限公司', 'corcode': '91110109MA01TRB422', 'cid': '002105291322003410'}
{'cname': '北京兴中兴建筑设计有限公司', 'corcode': '91110105101247635Q', 'cid': '002105291322988053'}
{'cname': '北方绿通（北京）建设发展有限公司', 'corcode': '91110109MA01QLMQXF', 'cid': '002105291322987697'}
{'cname': '北京金玉雷安工程有限责任公司', 'corcode': '91110117MA01F87B6H', 'cid': '002105291322003418'}
{'cname': '核工业工程研究设计有限公司', 'corcode': '911101137886559842', 'cid': '002105291322988057'}
{'cname': '北京坤隅建筑工程有限公司', 'corcode': '91110111MA01WG8H65', 'cid': '002105291322988734'}
{'cname': '北京华翔建筑工程有限公司', 'corcode': '9111011210238309X6', 'cid': '002105291322985043'}
{'cname': '北京全球鹰消防工程有限公司', 'corcode': '91110105MA00CA0Y8U', 'cid': '002105291322990137'}
{'cname': '北京子禾建筑工程有限公司', 'corcode': '91110109MA01WNG314', 'cid': '002105291322983643'}
{'cname': '北京龙豪百年建筑工程有限公司', 'corcode': '9111011574472372XN', 'cid': '002105291322984007'}
{'cname': '新元鼎建环境工程（北京）有限公司', 'corcode': '911101053302760425', 'cid': '002105291322005154'}
{'cname': '北京亮都丽景环境艺术工程有限公司', 'corcode': '91110101784808330D', 'cid': '002105291322985044'}
{'cname': '北京筑金巢建设工程有限公司', 'corcode': '91110111MA020X5B03', 'cid': '002106171904113270'}
{'cname': '北京首宣展览展示有限公司', 'corcode': '911101085906318993', 'cid': '002106171904113257'}
{'cname': '北京欣泉建设工程有限公司', 'corcode': '91110109MA020EQP7Q', 'cid': '002105291328030772'}
{'cname': '同泽景园（北京）园林工程有限公司', 'corcode': '911101080673145813', 'cid': '002106171904113258'}
{'cname': '东昌瑞源（北京）建筑工程有限公司', 'corcode': '91110111MA0219F12Y', 'cid': '002107011915128836'}
{'cname': '中锦时建（北京）建筑工程有限公司', 'corcode': '91110117MA01UXL3XY', 'cid': '002106181904114293'}
{'cname': '北京亿锦航科技有限公司', 'corcode': '91110112MA01BQUP4M', 'cid': '002106171904113271'}
{'cname': '北京金奥腾飞建筑工程有限公司', 'corcode': '91110117MA01YYCF52', 'cid': '002106181904114294'}
{'cname': '中开得盛建筑工程有限公司', 'corcode': '91110109MA028LEGX6', 'cid': '002106181904114295'}
{'cname': '北京中锦建达建筑劳务有限公司', 'corcode': '91110109MA02065824', 'cid': '002106181904114298'}
{'cname': '中北建达建设工程有限公司', 'corcode': '91110109MA020E4C06', 'cid': '002106181904114299'}
{'cname': '北京鑫泽瑞达工程技术有限公司', 'corcode': '91110113MA01H7LH2K', 'cid': '002106181904114300'}
{'cname': '北京晟裕建筑有限公司', 'corcode': '91110109MA028LQG6P', 'cid': '002106181904114301'}
{'cname': '中装高辉（北京）工程有限公司', 'corcode': '91110117MA01TFED2N', 'cid': '002106181904114302'}
{'cname': '北京金佳科技有限公司', 'corcode': '911101083397113978', 'cid': '002106181904114303'}
{'cname': '北京国龙晟世工程咨询有限公司', 'corcode': '91110115MA04G38U2R', 'cid': '002202172020273994'}
{'cname': '北京旭耀建筑工程有限公司', 'corcode': '91110115MA7DHW2R5X', 'cid': '002202172020273995'}
{'cname': '北京佳滕益宁建筑工程有限公司', 'corcode': '91110109MA04EQUW03', 'cid': '002201302018267563'}
{'cname': '中夏塑宁（北京）建设有限公司', 'corcode': '91110109MA04EYMXX7', 'cid': '002201302018267564'}
{'cname': '中奂（北京）建设有限公司', 'corcode': '91110109MA7C38PD4G', 'cid': '002201302018267567'}
{'cname': '北京鸿通恒远建筑工程有限公司', 'corcode': '91110117MA04F1YX1C', 'cid': '002203112007283110'}
{'cname': '北京鸿晟建业建筑工程有限公司', 'corcode': '91110117MA7FEA7A3D', 'cid': '002203112007283115'}
{'cname': '华富智科（北京）建设有限公司', 'corcode': '91110117MA02M9JE9L', 'cid': '002203112007283116'}
{'cname': '北京鸿晟兴耀建筑工程有限公司', 'corcode': '91110117MA7G3LB597', 'cid': '002203112007283117'}
{'cname': '北京维控技术有限公司', 'corcode': '91110109MA7EPAQA3E', 'cid': '002203112007283194'}
{'cname': '万晟捷诚（北京）建筑工程有限公司', 'corcode': '91110109MA7DKA2E5A', 'cid': '002203112007283195'}
{'cname': '北京国正建筑有限公司', 'corcode': '91110109MA7CQGM145', 'cid': '002202212018274990'}
{'cname': '北京忠信博艺建筑设计院有限公司', 'corcode': '91110115MA01FQ895Q', 'cid': '002202212018274991'}
{'cname': '琢磨琢磨科技（北京）有限公司', 'corcode': '91110108MA005H561H', 'cid': '002202161542273431'}
{'cname': '中兴建（北京）建筑科技有限公司', 'corcode': '91110107MA04DEHR96', 'cid': '002203032019279789'}
{'cname': '北京诚毅恒业机电工程服务有限公司', 'corcode': '91110105582592578Y', 'cid': '002105291306880123'}
{'cname': '非空间（北京）设计工程有限公司', 'corcode': '91110114MA01R8DC8W', 'cid': '002105291305857624'}
{'cname': '北京鑫泰隆路桥工程有限公司', 'corcode': '91110113MA0180AH4Q', 'cid': '002105291306889678'}
{'cname': '北京空港创信建筑装饰工程有限公司', 'corcode': '91110109MA01M0Y55W', 'cid': '002105291305854062'}
{'cname': '北京正乾兴业建设工程有限公司', 'corcode': '91110109MA01R5BJ4E', 'cid': '002105291305875961'}
{'cname': '九合智造（北京）工程有限公司', 'corcode': '91110109MA01Q9X98W', 'cid': '002105291306890729'}
{'cname': '北京中恒建诚建筑工程有限公司', 'corcode': '91110109MA01P4KR39', 'cid': '002105291306890742'}
{'cname': '北京国寰环境工程有限责任公司', 'corcode': '91110109MA01NHNP05', 'cid': '002105291305875969'}
{'cname': '中鼎荣恒（北京）建设有限公司', 'corcode': '91110109MA01T3P629', 'cid': '002105291305875970'}
{'cname': '北京中浤建筑工程有限公司', 'corcode': '91110109MA01QLTCXF', 'cid': '002105291305875973'}
{'cname': '北京信亿建筑工程有限公司', 'corcode': '91110109MA01R7WD48', 'cid': '002105291306890744'}
{'cname': '北京古今汇彩建设工程有限公司', 'corcode': '91110112MA00D0H06T', 'cid': '002105291306891427'}
{'cname': '北京盛世华宇建筑装饰工程有限公司', 'corcode': '91110109085454828B', 'cid': '002105291306891428'}
{'cname': '北京苏达建筑工程有限公司', 'corcode': '91110109MA01UMGM3X', 'cid': '002105291306891429'}
{'cname': '北京久安有方建筑工程有限公司', 'corcode': '91110117MA01R2YR8T', 'cid': '002105291306891430'}
{'cname': '中湘世纪（北京）工程有限公司', 'corcode': '91110117MA0211DJ5B', 'cid': '002108241905173029'}
{'cname': '北京塘晟建设工程有限公司', 'corcode': '91110117MA01YYWH9B', 'cid': '002107291914157027'}
{'cname': '北京永义天和建设工程有限公司', 'corcode': '91110117MA020UE34J', 'cid': '002107291914157028'}
{'cname': '华彬合盛（北京）工程设计有限公司', 'corcode': '911101063182587060', 'cid': '002107291914157036'}
{'cname': '北汽利戴工业技术服务（北京）有限公司', 'corcode': '91110105MA01E5UJ4A', 'cid': '002107291914157038'}
{'cname': '北京天润鸿鑫建设工程有限公司', 'corcode': '911101053483744170', 'cid': '002107291914157039'}
{'cname': '宏旭华企（北京）科技发展有限公司', 'corcode': '91110109MA021B8D13', 'cid': '002108241905173030'}
{'cname': '北京鼎盛宏岩建筑防水装饰工程有限公司', 'corcode': '91110229MA00DL435B', 'cid': '002108241905173031'}
{'cname': '中泽毅航（北京）建筑工程有限公司', 'corcode': '91110109MA020QEP3U', 'cid': '002108241905173032'}
{'cname': '北京中胜达建建筑工程有限公司', 'corcode': '91110117MA021CX23Y', 'cid': '002108241905173033'}
{'cname': '北京华建天云建设工程有限公司', 'corcode': '91110117MA02ADLL4E', 'cid': '002108241905173034'}
{'cname': '北京金科创达建筑工程有限公司', 'corcode': '91110109MA021E1M92', 'cid': '002108241905173035'}
{'cname': '北京怀林青茂建筑工程有限公司', 'corcode': '91110109MA0214A840', 'cid': '002108241905173036'}
{'cname': '中胜优筑（北京）建筑工程有限公司', 'corcode': '91110109MA021CR25U', 'cid': '002108241905173037'}
{'cname': '北京华建泰元建设工程有限公司', 'corcode': '91110117MA02ADDU77', 'cid': '002108241905173048'}
{'cname': '北京盛旭永丰建筑装饰工程有限公司', 'corcode': '91110109MA04E6WL9A', 'cid': '002111101911214592'}
{'cname': '北京聚和营造建筑工程有限公司', 'corcode': '91110116MA00314P6C', 'cid': '002111101911214593'}
{'cname': '北京中科鸿业建设有限公司', 'corcode': '91110109MA04DM888X', 'cid': '002111111911215451'}
{'cname': '北京筑涛伟业建筑工程有限公司', 'corcode': '91110109MA02B0PQ0E', 'cid': '002110131908198015'}
{'cname': '北京众兴智诚科技有限公司', 'corcode': '91110114306360148W', 'cid': '002109301907192395'}
{'cname': '北京福顺兴装饰有限公司', 'corcode': '9111011334840409XL', 'cid': '002110191906201390'}
{'cname': '北京百赢合装饰工程有限公司', 'corcode': '91110228MA00G40H45', 'cid': '002111101911214600'}
{'cname': '易装配（北京）装配式建筑科技有限公司', 'corcode': '91110302318337789X', 'cid': '002111101911214601'}
{'cname': '北京中胜正合建筑工程有限公司', 'corcode': '91110109MA04E71Q50', 'cid': '002111101911214602'}
{'cname': '中土建设（北京）工程检测有限公司', 'corcode': '91110108MA005PN090', 'cid': '002110081907193593'}
{'cname': '北京中鼎博康建筑有限公司', 'corcode': '91110109MA02M5TD3Y', 'cid': '002111041910210992'}
{'cname': '打扮家（北京）科技有限公司', 'corcode': '91110112MA00E8CNXX', 'cid': '002111041910210993'}
{'cname': '北京兴天通电讯科技有限公司', 'corcode': '91110108747521365L', 'cid': '002111111911215423'}
{'cname': '长城国际展览有限责任公司', 'corcode': '9111010810144687XU', 'cid': '002111111911215424'}
{'cname': '中瑞丰华（北京）建设有限公司', 'corcode': '91110117MA04B7K07Y', 'cid': '002111161910218285'}
{'cname': '北京创意兴达建筑工程有限公司', 'corcode': '91110117MABY28KQ0T', 'cid': '002211162019429278'}
{'cname': '北京禄钰建筑工程有限公司', 'corcode': '91110117MABY30XL60', 'cid': '002211152021428386'}
{'cname': '北京科誉德汇建筑工程有限公司', 'corcode': '91110117MABY33WP0G', 'cid': '002211152021428387'}
{'cname': '中新共维（北京）建设有限公司', 'corcode': '91110117MABUTDJ68H', 'cid': '002211082026424154'}
{'cname': '北京北矿智能科技有限公司', 'corcode': '91110102MA01KXN38K', 'cid': '002211082026424156'}
{'cname': '北京琪琳电子科技有限公司', 'corcode': '911101090989046215', 'cid': '002211162019429240'}
{'cname': '电云维（北京）科技有限公司', 'corcode': '91110115MA019THP9N', 'cid': '002212202027447566'}
{'cname': '北京楠社科技有限公司', 'corcode': '91110113MABR9UD56G', 'cid': '002210262022416421'}
{'cname': '北京华油智通管道工程有限公司', 'corcode': '91110113MA01L0NL0G', 'cid': '002210252017415737'}
{'cname': '北京中研众诚检测技术有限公司', 'corcode': '91110113MA01M13L1N', 'cid': '002210252017415738'}
{'cname': '北京和戎科技文化有限公司', 'corcode': '91110105MA01MCTY3N', 'cid': '002210252017415739'}
{'cname': '北京京冀睿达建筑装饰工程有限公司', 'corcode': '91110113MA01RCCF7M', 'cid': '002210252017415741'}
