{'cname': '北京市富华世纪电力工程有限公司', 'cid': '002105291241622801'}
{'cname': '军通（成都）建设股份有限公司', 'cid': '002105291312917835'}
{'cname': '新泰市禹工钻探工程有限公司', 'cid': '002105291248663375'}
{'cname': '张家港长力机械有限公司', 'cid': '002105291259821848'}
{'cname': '河南古雕建筑工程有限公司', 'cid': '002204212010306540'}
{'cname': '陕西旗开佳胜建设工程有限公司', 'cid': '002105291306881974'}
{'cname': '山东鲲鹏广告装饰有限公司', 'cid': '002105291240559226'}
{'cname': '洛阳城市建设勘察设计院有限公司', 'cid': '002105291248677805'}
{'cname': '吉林省新生建筑工程有限公司', 'cid': '002105291322983435'}
{'cname': '万泰屹呈土木工程有限公司', 'cid': '002105291249710219'}
{'cname': '荆州市羽丰建筑工程有限公司', 'cid': '002108051903163211'}
{'cname': '湖北科兴建设工程有限公司', 'cid': '002105291313954254'}
{'cname': '广东鸿福建设有限公司', 'cid': '002207082014348592'}
{'cname': '金华宇澄园林工程有限公司', 'cid': '002105291248690716'}
{'cname': '陕西中时嘉缘建筑工程有限公司', 'cid': '002211182019430771'}
{'cname': '成都金穗建筑工程有限责任公司', 'cid': '002105291248677039'}
{'cname': '河南冉朋建筑工程有限公司', 'cid': '002112081934233209'}
{'cname': '湖北美亚达集团建筑产业化有限公司', 'cid': '002105291249714100'}
{'cname': '江西环沪建筑工程有限公司', 'cid': '002105291313931533'}
{'cname': '阿拉尔市南铺商品混凝土制品有限公司', 'cid': '002105291241573460'}
{'cname': '兰州鸿太建筑安装工程有限公司', 'cid': '002105291249712602'}
{'cname': '天津市新工民建建筑工程有限公司', 'cid': '002105291328051177'}
{'cname': '广东浠粤建设工程有限公司', 'cid': '002105291306883151'}
{'cname': '铁岭市路通建筑工程有限公司', 'cid': '002105291241598556'}
{'cname': '厦门弘业鑫城建设有限公司', 'cid': '002109101905183828'}
{'cname': '安徽亚斯宇建设工程有限公司', 'cid': '002105291305855337'}
{'cname': '嘉兴市瀚翔建筑工程有限公司', 'cid': '002111151910217722'}
{'cname': '南京苏隆建筑工程有限公司', 'cid': '002105291240513914'}
{'cname': '四川华强管道安装工程有限公司', 'cid': '002105291240536091'}
{'cname': '北京天幸达建设工程有限公司', 'cid': '002211022019420873'}
{'cname': '北京城建二开元装饰工程有限公司', 'cid': '002105291240467280'}
{'cname': '红心阳建设工程有限公司', 'cid': '002105291249712232'}
{'cname': '新疆立兴建筑工程有限责任公司', 'cid': '002105291242644214'}
{'cname': '西藏永庆工程设计有限公司', 'cid': '002201051916251680'}
{'cname': '海南陆星装饰工程有限公司', 'cid': '002206272041340954'}
{'cname': '宁夏交恒建设工程有限公司', 'cid': '002211032021422370'}
{'cname': '齐齐哈尔易德建筑装饰有限公司', 'cid': '002105291322977264'}
{'cname': '武汉新力宇创电力设计有限公司', 'cid': '002105291240561457'}
{'cname': '重庆默宁建设工程有限公司', 'cid': '002105291258794954'}
{'cname': '江苏驰建建设工程有限公司', 'cid': '002105291248689863'}
{'cname': '江苏通能窑炉工程有限公司', 'cid': '002105291322998435'}
{'cname': '河南宽恩建筑工程有限公司', 'cid': '002110191906201711'}
{'cname': '金华宇澄园林工程有限公司', 'cid': '002105291248690716'}
{'cname': '河北东方铁塔有限公司', 'cid': '002105291248654332'}
{'cname': '南京瑞雪庭装饰工程有限公司', 'cid': '002105291322979841'}
{'cname': '茂名市电白区东威建筑工程有限公司', 'cid': '002105291240536806'}
{'cname': '河南宽恩建筑工程有限公司', 'cid': '002110191906201711'}
{'cname': '汕头市市政工程总公司珠海公司', 'cid': '002209072015385926'}
{'cname': '湖北易苍建设工程有限公司', 'cid': '002301132159458323'}
{'cname': '新疆着力建设工程有限公司', 'cid': '002105291255767823'}
{'cname': '福建烁新建设有限公司', 'cid': '002203312009294998'}
{'cname': '昆山市大华建筑装饰工程有限公司', 'cid': '002105291248650667'}
{'cname': '天津天房建设工程有限公司', 'cid': '002105291241571405'}
{'cname': '陕西中时嘉缘建筑工程有限公司', 'cid': '002211182019430771'}
{'cname': '徐州市泉城混凝土有限责任公司', 'cid': '002105291248664275'}
{'cname': '重庆默宁建设工程有限公司', 'cid': '002105291258794954'}
{'cname': '吉林省新生建筑工程有限公司', 'cid': '002105291322983435'}
{'cname': '南通一通建设工程有限公司', 'cid': '002105291241624782'}
{'cname': '陕西浩星眸建筑工程有限公司', 'cid': '002105291259815866'}
{'cname': '河南龙昌机械制造有限公司', 'cid': '002105291305861282'}
{'cname': '铜川市耀州区辰兴商贸有限公司', 'cid': '002107241918153589'}
{'cname': '西藏永庆工程设计有限公司', 'cid': '002201051916251680'}
{'cname': '武汉亿方涂诺防腐工程有限公司', 'cid': '002105291254748794'}
{'cname': '陕西京智建筑工程有限公司', 'cid': '002105291241592494'}
{'cname': '陕西骏纬建设工程有限公司', 'cid': '002105291240478265'}
{'cname': '河南詹装建筑工程有限公司', 'cid': '002210112019406851'}
{'cname': '成都卓思工程技术咨询有限公司', 'cid': '002105291241578255'}
{'cname': '上海新江桥建设发展有限公司', 'cid': '002105291328054970'}
{'cname': '深圳市锋潮建设工程有限公司', 'cid': '002105291322009807'}
{'cname': '军通（成都）建设股份有限公司', 'cid': '002105291312917835'}
{'cname': '威立雅能源科技（上海）有限公司', 'cid': '002105291305867110'}
{'cname': '齐齐哈尔易德建筑装饰有限公司', 'cid': '002105291322977264'}
{'cname': '兰州鸿太建筑安装工程有限公司', 'cid': '002105291249712602'}
{'cname': '河北明亮消防工程有限公司', 'cid': '002105291240528418'}
{'cname': '安康市河西建筑劳务工程有限公司', 'cid': '002105291240562650'}
{'cname': '宁夏交恒建设工程有限公司', 'cid': '002211032021422370'}
{'cname': '化州市中粤建设工程有限公司', 'cid': '002105291306903319'}
{'cname': '云南雨霸工程有限公司', 'cid': '002105291321971802'}
{'cname': '万泰屹呈土木工程有限公司', 'cid': '002105291249710219'}
{'cname': '四川蕙哲建筑工程有限公司', 'cid': '002105291313961360'}
{'cname': '青海三震建设工程有限公司', 'cid': '002108181903169853'}
{'cname': '浙江安吉联大建设有限公司', 'cid': '002105291259820034'}
{'cname': '红心阳建设工程有限公司', 'cid': '002105291249712232'}
{'cname': '成都众恒嘉建设工程有限公司', 'cid': '002105291254724000'}
{'cname': '赤峰蒙格尔装饰工程有限公司', 'cid': '002202112050271932'}
{'cname': '山西双耀建筑工程有限公司', 'cid': '002105291258810795'}
{'cname': '江西南祥建筑工程有限公司', 'cid': '002112091917233399'}
{'cname': '云南巨力电力工程股份有限公司', 'cid': '002105291328025145'}
{'cname': '新疆立兴建筑工程有限责任公司', 'cid': '002105291242644214'}
{'cname': '中瑞天铭（北京）节能设备工程有限公司', 'cid': '002105291241617340'}
{'cname': '厦门弘业鑫城建设有限公司', 'cid': '002109101905183828'}
{'cname': '吉林市潜利其建筑工程有限公司', 'cid': '002105291254741063'}
{'cname': '惠州首荣建筑工程有限公司', 'cid': '002209072015385913'}
{'cname': '宁夏交恒建设工程有限公司', 'cid': '002211032021422370'}
{'cname': '安康市河西建筑劳务工程有限公司', 'cid': '002105291240562650'}
{'cname': '江西环沪建筑工程有限公司', 'cid': '002105291313931533'}
{'cname': '沈阳熙泉建筑工程有限公司', 'cid': '002105291240465714'}
{'cname': '山东运聚辰电力工程有限公司', 'cid': '002105311953100799'}
{'cname': '河北明亮消防工程有限公司', 'cid': '002105291240528418'}
{'cname': '安康市河西建筑劳务工程有限公司', 'cid': '002105291240562650'}
{'cname': '张家港长力机械有限公司', 'cid': '002105291259821848'}
{'cname': '红心阳建设工程有限公司', 'cid': '002105291249712232'}
{'cname': '四川华强管道安装工程有限公司', 'cid': '002105291240536091'}
{'cname': '安徽满润建设工程有限公司', 'cid': '002105291322000361'}
{'cname': '云南旭原建设工程有限公司', 'cid': '002105291328045343'}
{'cname': '辽宁普迅达环保技术有限公司', 'cid': '002105291306899550'}
{'cname': '深圳市锋潮建设工程有限公司', 'cid': '002105291322009807'}
